Source,Target,Type,Kind,Id,Label,Weight,Dénominations
13350,11339,Undirected,,448,,1,
13350,10912,Undirected,,449,,1,
13356,10761,Undirected,,450,,1,
13356,12603,Undirected,,451,,1,
13359,10978,Undirected,,452,,1,
13359,13808,Undirected,,453,,1,
13344,13809,Undirected,Famille,454,,1,
13344,12014,Undirected,,455,,1,
13380,13811,Undirected,,456,,1,
13181,11679,Undirected,,458,,1,
13181,10753,Undirected,,459,,1,
13183,13141,Undirected,,460,,1,
13183,13812,Undirected,,461,,1,
13183,11303,Undirected,,462,,1,
13183,11540,Undirected,,463,,1,
13194,11438,Undirected,En Couple,464,,1,
13194,13748,Undirected,,465,,1,
13189,12178,Undirected,,466,,1,
13189,12969,Undirected,,467,,1,
12538,12010,Undirected,Co-écriture ouvrage,468,,1,
12538,13814,Undirected,Ex-Collaboration,469,,1,
12494,10329,Undirected,,470,,1,
12494,11692,Undirected,,471,,1,
